from_cui	to_cui	level
C0765273	C4524315	Moderate
C0120726	C2349941	Major
C0002598	C0022026	Moderate
C0026259	C0070122	Unknown
C0019453	C0909381	Moderate
C0015121	C3856267	Moderate
C0004234	C0025853	Moderate
C0028978	C0657912	Unknown
C0971579	C2698692	Moderate
C0055856	C0244821	Unknown
C0057605	C0770393	Moderate
C0008281	C0041090	Moderate
C0813171	C1145760	Moderate
C0065023	C1721377	Minor
C0028420	C1567130	Moderate
C0288165	C0541315	Major
C0042679	C0717360	Moderate
C0040864	C0140610	Unknown
C1533126	C2980094	Moderate
C0068485	C0541315	Major
C0005116	C0209211	Moderate
C0033487	C0055147	Moderate
C0030095	C3486388	Moderate
C0050940	C0143083	Moderate
C0008269	C0040233	Moderate
C0286651	C1144149	Major
C0072980	C3661315	Moderate
C0020789	C0058218	Moderate
C0002499	C0007559	Moderate
C0082608	C0699817	Moderate
C0061851	C0070895	Moderate
C0004975	C1134467	Moderate
C0025760	C0078643	Major
C0015011	C3886073	Moderate
C0026234	C1831808	Major
C0086140	C1170000	Major
C4043954	C4044947	Major
C0062941	C1872109	Major
C0031507	C2347624	Moderate
C0531104	C1527027	Major
C0013085	C0036442	Moderate
C0118168	C1565750	Moderate
C0002412	C0005308	Moderate
C0005116	C4309207	Moderate
C0071097	C0377265	Unknown
C4079830	C4329353	Major
C0039644	C0043031	Moderate
C4044947	C4079830	Major
C0064007	C0969589	Moderate
C0012133	C0071568	Moderate
C0054201	C0070166	Unknown
C0034417	C0126774	Moderate
C0040805	C0068771	Moderate
C0028005	C0079594	Moderate
C0026056	C0043031	Unknown
C0002575	C0040233	Major
C0013090	C0025893	Moderate
C0013090	C0257685	Unknown
C0013090	C0288171	Unknown
C0070549	C0795635	Moderate
C0041165	C0765273	Minor
C0006246	C0040989	Moderate
C0008287	C1530072	Moderate
C0062941	C2935436	Major
C0015827	C2974521	Moderate
C0063041	C0298130	Moderate
C0012091	C0085154	Minor
C0031507	C2986922	Moderate
C0070122	C0082646	Unknown
C0013085	C0070549	Moderate
C0025153	C0051150	Moderate
C0009214	C0754647	Moderate
C0008287	C1699861	Minor
C1619629	C3896940	Moderate
C0032483	C0379881	Moderate
